date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,5,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,175,47.55434782608695
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,5,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,193,52.44565217391305
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,224,93.72384937238493
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,15,6.2761506276150625
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,2,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,255,87.93103448275862
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,2,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,35,12.068965517241379
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,3,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,265,84.66453674121406
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,3,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,48,15.335463258785943
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,4,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,193,74.23076923076923
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/05 Simpang Pertang,SJK (C) Simpang Pertang,4,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,67,25.769230769230766
